make,model,year,mileage,CarCategory,listPrice,accidentHistory,bodytype,noAccidents,oneOwner,personalUse,vehicleCondition,serviceRecords,transmission,listingStatus,dealerState,dealerCity,certified,displacement,drivetype,engine cyl or electric,interiorColor,exteriorColor,fuel,mpgCombined,mpgCity,mpgHighway,dealerRate,onePrice,Options,serviceHistory,vehicleUseHistory,firstSeenday,latitude,longitude,detailedUrl
Volkswagen,e-Golf,2015,18769,Economy,19100,No Accident or Damage Reported,Hatchback,TRUE,FALSE,TRUE,Used,TRUE,Automatic,,GA,Atlanta,TRUE,NA,FWD,Electric,Black,Blue,Electric,116,126,105,4.8,,"['Air Conditioning', 'Alloy Wheels', 'CD (Single Disc)', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Keyless Entry', 'Navigation System', 'Rear-View Camera', 'Split/Folding Seats']","[{'city': 'Atlanta', 'state': 'GA', 'odometerReading': 18769, 'date': '10/04/18', 'description': '[Maintenance inspection completed, Four wheel alignment performed, Tire(s) replaced, Four tires balanced, Four tires mounted]', 'source': 'Jim Ellis Volkswagen of Atlanta, Atlanta, GA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 3176, 'useType': 'Personal Lease', 'ownerNumber': 2}, {'averageMilesPerYear': 7773, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",9/15/18,33.908768,-84.291305,https://www.carfax.com/vehicle/WVWPP7AU4FW910339
Mercedes-Benz,B-Class,2015,20283,Luxury,22900,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,PRICE DROP,CA,Los Angeles,FALSE,NA,FWD,Electric,Black,Black,Electric,84,85,82,0,21590,"['Air Conditioning', 'Alloy Wheels', 'CD (Single Disc)', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'MP3', 'Navigation System', 'Rear-View Camera', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 0, 'date': '10/12/18', 'description': '[Recommended maintenance performed, Tire condition and pressure checked]', 'source': 'Downtown LA Motors, Los Angeles, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 6841, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",10/10/18,34.03538,-118.27186,https://www.carfax.com/vehicle/WDDVP9AB3FJ006406
Volkswagen,e-Golf,2015,29761,Economy,14999,No Accident or Damage Reported,Hatchback,TRUE,FALSE,FALSE,Used,TRUE,Automatic,,CA,Los Angeles,TRUE,NA,FWD,Electric,Black,Blue,Electric,116,126,105,4.6,16080,"['Air Conditioning', 'CD (Single Disc)', 'Cloth Seats', 'Heated Seats', 'Keyless Entry', 'MP3', 'Navigation System', 'Power Steering', 'Rear-View Camera', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 0, 'date': '09/24/18', 'description': '[Safety inspection performed, Tire condition and pressure checked, Washer nozzle(s) replaced]', 'source': 'Volkswagen of Downtown L.A., Los Angeles, CA, '}]","{'text': 'Multiple Use', 'icon': 'generic', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_generic.gif', 'history': [{'averageMilesPerYear': 10094, 'ownerNumber': 2}, {'averageMilesPerYear': 0, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",9/20/18,34.03401,-118.27178,https://www.carfax.com/vehicle/WVWKP7AU0FW907626
Volkswagen,e-Golf,2015,8882,Economy,16999,Damage Reported,Hatchback,FALSE,FALSE,FALSE,Used,TRUE,Automatic,,CA,Los Angeles,FALSE,NA,FWD,Electric,Tan,Blue,Electric,116,126,105,4.6,16430,"['Air Conditioning', 'Alloy Wheels', 'CD (Single Disc)', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'MP3', 'Navigation System', 'Rear-View Camera', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 8882, 'date': '09/13/18', 'description': '[Safety inspection performed, Tire condition and pressure checked, Windshield washer checked]', 'source': 'Volkswagen of Downtown L.A., Los Angeles, CA, '}]","{'text': 'Multiple Use', 'icon': 'generic', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_generic.gif', 'history': [{'averageMilesPerYear': 2535, 'ownerNumber': 2}, {'averageMilesPerYear': 3500, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",9/16/18,34.03401,-118.27178,https://www.carfax.com/vehicle/WVWPP7AUXFW909874
Volkswagen,e-Golf,2016,17621,Economy,19999,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,CA,Los Angeles,TRUE,NA,FWD,Electric,Tan,Black,Electric,116,126,105,4.6,,"['Air Conditioning', 'Alloy Wheels', 'CD (Single Disc)', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'MP3', 'Navigation System', 'Rear-View Camera', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 0, 'date': '10/11/18', 'description': '[Air filter replaced, Safety inspection performed, Tire condition and pressure checked]', 'source': 'Volkswagen of Downtown L.A., Los Angeles, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 6374, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",10/12/18,34.03401,-118.27178,https://www.carfax.com/vehicle/WVWPP7AU1GW903737
Volkswagen,e-Golf,2016,14122,Economy,16999,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,CA,Los Angeles,TRUE,NA,FWD,Electric,Black,Gray,Electric,116,126,105,4.6,16350,"['Air Conditioning', 'Alloy Wheels', 'CD (Single Disc)', 'Cloth Seats', 'Heated Seats', 'Keyless Entry', 'MP3', 'Power Steering', 'Rear-View Camera', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 0, 'date': '08/31/18', 'description': '[Safety inspection performed, Tire condition and pressure checked]', 'source': 'Volkswagen of Downtown L.A., Los Angeles, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 11108, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",9/6/18,34.03401,-118.27178,https://www.carfax.com/vehicle/WVWKP7AU5GW917070
Volkswagen,e-Golf,2015,8882,Economy,16999,Damage Reported,Hatchback,FALSE,FALSE,FALSE,Used,TRUE,Automatic,,CA,Los Angeles,FALSE,NA,FWD,Electric,Tan,Blue,Electric,116,126,105,4.6,16430,"['Air Conditioning', 'Alloy Wheels', 'CD (Single Disc)', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'MP3', 'Navigation System', 'Rear-View Camera', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 8882, 'date': '09/13/18', 'description': '[Safety inspection performed, Tire condition and pressure checked, Windshield washer checked]', 'source': 'Volkswagen of Downtown L.A., Los Angeles, CA, '}]","{'text': 'Multiple Use', 'icon': 'generic', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_generic.gif', 'history': [{'averageMilesPerYear': 2535, 'ownerNumber': 2}, {'averageMilesPerYear': 3500, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",9/16/18,34.03401,-118.27178,https://www.carfax.com/vehicle/WVWPP7AUXFW909874
Fiat,500e,2013,13897,Economy,8999,No Accident or Damage Reported,Hatchback,TRUE,FALSE,TRUE,Used,TRUE,Automatic,,CA,Los Angeles,FALSE,NA,FWD,Electric,White,Orange,Electric,116,122,108,4.6,,"['Air Conditioning', 'Alloy Wheels', 'CD (Single Disc)', 'Cruise Control', 'Fog Lights', 'Heated Seats', 'Keyless Entry', 'MP3', 'Navigation System', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 13897, 'date': '09/14/18', 'description': '[Safety inspection performed, Tire condition and pressure checked]', 'source': 'Volkswagen of Downtown L.A., Los Angeles, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 3125, 'useType': 'Personal Lease', 'ownerNumber': 1}, {'averageMilesPerYear': 4036, 'useType': 'Personal Use', 'ownerNumber': 2}]}",9/20/18,34.03401,-118.27178,https://www.carfax.com/vehicle/3C3CFFGE7DT712650
Volkswagen,e-Golf,2015,29761,Economy,14999,No Accident or Damage Reported,Hatchback,TRUE,FALSE,FALSE,Used,TRUE,Automatic,,CA,Los Angeles,TRUE,NA,FWD,Electric,Black,Blue,Electric,116,126,105,4.6,16080,"['Air Conditioning', 'CD (Single Disc)', 'Cloth Seats', 'Heated Seats', 'Keyless Entry', 'MP3', 'Navigation System', 'Power Steering', 'Rear-View Camera', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 0, 'date': '09/24/18', 'description': '[Safety inspection performed, Tire condition and pressure checked, Washer nozzle(s) replaced]', 'source': 'Volkswagen of Downtown L.A., Los Angeles, CA, '}]","{'text': 'Multiple Use', 'icon': 'generic', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_generic.gif', 'history': [{'averageMilesPerYear': 10094, 'ownerNumber': 2}, {'averageMilesPerYear': 0, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",9/20/18,34.03401,-118.27178,https://www.carfax.com/vehicle/WVWKP7AU0FW907626
Volkswagen,e-Golf,2016,17621,Economy,19999,No Accident or Damage Reported,Hatchback,TRUE,TRUE,TRUE,Used,TRUE,Automatic,,CA,Los Angeles,TRUE,NA,FWD,Electric,Tan,Black,Electric,116,126,105,4.6,,"['Air Conditioning', 'Alloy Wheels', 'CD (Single Disc)', 'Cruise Control', 'Heated Seats', 'Keyless Entry', 'MP3', 'Navigation System', 'Rear-View Camera', 'Satellite Radio']","[{'city': 'Los Angeles', 'state': 'CA', 'odometerReading': 0, 'date': '10/11/18', 'description': '[Air filter replaced, Safety inspection performed, Tire condition and pressure checked]', 'source': 'Volkswagen of Downtown L.A., Los Angeles, CA, '}]","{'text': 'Personal Use', 'icon': 'personal', 'iconUrl': 'https://media.carfax.com/img/vhr/ico_personal.gif', 'history': [{'averageMilesPerYear': 6374, 'useType': 'Personal Lease', 'ownerNumber': 1}]}",10/12/18,34.03401,-118.27178,https://www.carfax.com/vehicle/WVWPP7AU1GW903737
